id_bsran_Group	id_bsran	title_bsran	layer_bsran	objtype_bsran	objpixel_bsran	objgeo_bsran	pensymcolor_bsran	pensymsizepixel_bsran	pensymsizemeters_bsran	brushfill_bsran	brushcolor_bsran	alpha_bsran	uri_bsran	labelsize_bsran	labelcolor_bsran	objgeocenter_bsran
-1064471185_166	1064471185166			POINT	544.618180638731 464.429431554689	0.774207226931773 0.339189883197385	-16777216	10	10	10	10					
-1064471185_167	1064471185167			POINT	556.76014935626 465.012921938317	0.791447628289177 0.338313678315911	-16777216	10	10	10	10					
-1064471185_168	1064471185168			POINT	568.902119425904 465.596406836241	0.80868802964658 0.33743747343444	-16777216	10	10	10	10					
-1064471185_169	1064471185169			POINT	577.448598275143 474.821544326702	0.820792503654655 0.324219846661307	-16777216	10	10	10	10					
-1064471185_170	1064471185170			POINT	578.352207317779 492.493847651387	0.822014249860932 0.298952866290335	-16777216	10	10	10	10					
-1064471185_171	1064471185171			POINT	579.255744440024 510.166153930978	0.82323599606721 0.273685885919366	-16777216	10	10	10	10					
-1064471185_172	1064471185172			POINT	580.159209309781 527.838463243222	0.824457742273486 0.248418905548396	-16777216	10	10	10	10					
-1064471185_173	1064471185173			POINT	581.062601594945 545.510775665859	0.825679488479764 0.223151925177427	-16777216	10	10	10	10					
-1064471185_174	1064471185174			POINT	581.965920963397 563.183091276628	0.826901234686043 0.197884944806459	-16777216	10	10	10	10					
-1064471185_175	1064471185175			POINT	582.869167083006 580.855410153269	0.828122980892322 0.17261796443549	-16777216	10	10	10	10					
-1064471185_176	1064471185176			POINT	583.772339621629 598.527732373517	0.829344727098601 0.147350984064522	-16777216	10	10	10	10					
-1064471185_177	1064471185177			POINT	584.675438247111 616.200058015107	0.83056647330488 0.122084003693554	-16777216	10	10	10	10					
-1064471185_178	1064471185178			POINT	572.643398910396 615.668750103884	0.813482142984529 0.122884939262559	-16777216	10	10	10	10					
-1064471185_179	1064471185179			POINT	560.611359974905 615.1374412183	0.79639781266418 0.123685874831564	-16777216	10	10	10	10					
-1064471185_180	1064471185180			POINT	557.513492472615 628.171691504706	0.791953979059724 0.105063064990351	-16777216	10	10	10	10					
-1064471185_181	1064471185181			POINT	557.423594683235 641.338768738972	0.791781228035357 0.0862400212568856	-16777216	10	10	10	10					
-1064471185_182	1064471185182			POINT	551.442393455823 650.637623392188	0.78325579315391 0.0729671295705871	-16777216	10	10	10	10					
